sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
sys:1: DtypeWarning: Columns (8,9,10,11,12,43,157,167,177,196,214,225,228,229,231,235,238) have mixed types. Specify dtype option on import or set low_memory=False.
/home/ubuntu/anaconda/lib/python2.7/site-packages/numpy/lib/arraysetops.py:200: FutureWarning: numpy not_equal will not check object identity in the future. The comparison did not return the same result as suggested by the identity (`is`)) and will change.
  flag = np.concatenate(([True], aux[1:] != aux[:-1]))
Will train until validation_0 error hasn't decreased in 20 rounds.
[170]	validation_0-auc:0.799703
[171]	validation_0-auc:0.799669
[172]	validation_0-auc:0.799719
[173]	validation_0-auc:0.799760
[174]	validation_0-auc:0.799705
[175]	validation_0-auc:0.799723
[176]	validation_0-auc:0.799707
[177]	validation_0-auc:0.799834
[178]	validation_0-auc:0.799929
[179]	validation_0-auc:0.800011
[180]	validation_0-auc:0.799980
[181]	validation_0-auc:0.800054
[182]	validation_0-auc:0.799938
[183]	validation_0-auc:0.799978
[184]	validation_0-auc:0.799948
[185]	validation_0-auc:0.800107
[186]	validation_0-auc:0.800161
[187]	validation_0-auc:0.800299
[188]	validation_0-auc:0.800227
[189]	validation_0-auc:0.800315
[190]	validation_0-auc:0.800384
[191]	validation_0-auc:0.800313
[192]	validation_0-auc:0.800442
[193]	validation_0-auc:0.800397
[194]	validation_0-auc:0.800504
[195]	validation_0-auc:0.800587
[196]	validation_0-auc:0.800499
[197]	validation_0-auc:0.800526
[198]	validation_0-auc:0.800637
[199]	validation_0-auc:0.800629
[200]	validation_0-auc:0.800562
[201]	validation_0-auc:0.800485
[202]	validation_0-auc:0.800581
[203]	validation_0-auc:0.800593
[204]	validation_0-auc:0.800645
[205]	validation_0-auc:0.800538
[206]	validation_0-auc:0.800607
[207]	validation_0-auc:0.800621
[208]	validation_0-auc:0.800734
[209]	validation_0-auc:0.800730
[210]	validation_0-auc:0.800746
[211]	validation_0-auc:0.800793
[212]	validation_0-auc:0.800758
[213]	validation_0-auc:0.800884
[214]	validation_0-auc:0.801002
[215]	validation_0-auc:0.801077
[216]	validation_0-auc:0.801090
[217]	validation_0-auc:0.801141
[218]	validation_0-auc:0.801123
[219]	validation_0-auc:0.801118
[220]	validation_0-auc:0.801188
[221]	validation_0-auc:0.801246
[222]	validation_0-auc:0.801283
[223]	validation_0-auc:0.801313
[224]	validation_0-auc:0.801232
[225]	validation_0-auc:0.801327
[226]	validation_0-auc:0.801363
[227]	validation_0-auc:0.801266
[228]	validation_0-auc:0.801247
[229]	validation_0-auc:0.801273
[230]	validation_0-auc:0.801339
[231]	validation_0-auc:0.801415
[232]	validation_0-auc:0.801526
[233]	validation_0-auc:0.801579
[234]	validation_0-auc:0.801583
[235]	validation_0-auc:0.801743
[236]	validation_0-auc:0.801735
[237]	validation_0-auc:0.801731
[238]	validation_0-auc:0.801729
[239]	validation_0-auc:0.801675
[240]	validation_0-auc:0.801716
[241]	validation_0-auc:0.801667
[242]	validation_0-auc:0.801683
[243]	validation_0-auc:0.801714
[244]	validation_0-auc:0.801757
[245]	validation_0-auc:0.801780
[246]	validation_0-auc:0.801796
[247]	validation_0-auc:0.801867
[248]	validation_0-auc:0.801870
[249]	validation_0-auc:0.801924
[250]	validation_0-auc:0.801981
[251]	validation_0-auc:0.801999
[252]	validation_0-auc:0.802052
[253]	validation_0-auc:0.802070
[254]	validation_0-auc:0.802098
[255]	validation_0-auc:0.802145
[256]	validation_0-auc:0.802123
[257]	validation_0-auc:0.802143
[258]	validation_0-auc:0.802152
[259]	validation_0-auc:0.802165
[260]	validation_0-auc:0.802147
[261]	validation_0-auc:0.802199
[262]	validation_0-auc:0.802229
[263]	validation_0-auc:0.802235
[264]	validation_0-auc:0.802254
[265]	validation_0-auc:0.802290
[266]	validation_0-auc:0.802286
[267]	validation_0-auc:0.802294
[268]	validation_0-auc:0.802315
[269]	validation_0-auc:0.802316
[270]	validation_0-auc:0.802381
[271]	validation_0-auc:0.802431
[272]	validation_0-auc:0.802447
[273]	validation_0-auc:0.802438
[274]	validation_0-auc:0.802488
[275]	validation_0-auc:0.802535
[276]	validation_0-auc:0.802589
[277]	validation_0-auc:0.802656
[278]	validation_0-auc:0.802677
[279]	validation_0-auc:0.802670
[280]	validation_0-auc:0.802598
[281]	validation_0-auc:0.802634
[282]	validation_0-auc:0.802574
[283]	validation_0-auc:0.802689
[284]	validation_0-auc:0.802748
[285]	validation_0-auc:0.802819
[286]	validation_0-auc:0.802827
[287]	validation_0-auc:0.802808
[288]	validation_0-auc:0.802854
[289]	validation_0-auc:0.802833
[290]	validation_0-auc:0.802917
[291]	validation_0-auc:0.802928
[292]	validation_0-auc:0.803005
[293]	validation_0-auc:0.802985
[294]	validation_0-auc:0.802913
[295]	validation_0-auc:0.802954
[296]	validation_0-auc:0.803030
[297]	validation_0-auc:0.803046
[298]	validation_0-auc:0.803137
[299]	validation_0-auc:0.803101
[300]	validation_0-auc:0.803159
[301]	validation_0-auc:0.803136
[302]	validation_0-auc:0.803044
[303]	validation_0-auc:0.803163
[304]	validation_0-auc:0.803157
[305]	validation_0-auc:0.803240
[306]	validation_0-auc:0.803293
[307]	validation_0-auc:0.803372
[308]	validation_0-auc:0.803433
[309]	validation_0-auc:0.803509
[310]	validation_0-auc:0.803501
[311]	validation_0-auc:0.803511
[312]	validation_0-auc:0.803518
[313]	validation_0-auc:0.803525
[314]	validation_0-auc:0.803519
[315]	validation_0-auc:0.803537
[316]	validation_0-auc:0.803557
[317]	validation_0-auc:0.803533
[318]	validation_0-auc:0.803551
[319]	validation_0-auc:0.803539
